precision,recall,f1-score,support,model,classification,data_type
0.8015184381778742,0.9523195876288659,0.8704358068315665,776.0,XGB,Multi (3),x_train weighted
0.2727272727272727,0.07741935483870968,0.12060301507537688,155.0,XGB,Multi (3),x_train weighted
0.16666666666666666,0.0963855421686747,0.12213740458015267,83.0,XGB,Multi (3),x_train weighted
0.7485207100591716,0.7485207100591716,0.7485207100591716,0.7485207100591716,XGB,Multi (3),x_train weighted
0.4136374591906045,0.37537482821208346,0.3710587421623654,1014.0,XGB,Multi (3),x_train weighted
0.6687222570336203,0.7485207100591716,0.6945651459744888,1014.0,XGB,Multi (3),x_train weighted
0.8229043683589138,0.8981958762886598,0.8589032655576093,776.0,LGBM,Multi (3),x_train weighted
0.3064516129032258,0.24516129032258063,0.2724014336917563,155.0,LGBM,Multi (3),x_train weighted
0.23255813953488372,0.12048192771084337,0.15873015873015872,83.0,LGBM,Multi (3),x_train weighted
0.7347140039447732,0.7347140039447732,0.7347140039447732,0.7347140039447732,LGBM,Multi (3),x_train weighted
0.4539713735990078,0.42127969810736127,0.43001161932650805,1014.0,LGBM,Multi (3),x_train weighted
0.6956371947020833,0.7347140039447732,0.7119386188062428,1014.0,LGBM,Multi (3),x_train weighted
0.8105022831050228,0.9149484536082474,0.8595641646489104,776.0,LGBM,Multi (3),x_train_bal
0.2916666666666667,0.18064516129032257,0.22310756972111553,155.0,LGBM,Multi (3),x_train_bal
0.2619047619047619,0.13253012048192772,0.176,83.0,LGBM,Multi (3),x_train_bal
0.7386587771203156,0.7386587771203156,0.7386587771203156,0.7386587771203156,LGBM,Multi (3),x_train_bal
0.4546912372254838,0.4093745784601659,0.4195572447900086,1014.0,LGBM,Multi (3),x_train_bal
0.6862881659377971,0.7386587771203156,0.7063229438602834,1014.0,LGBM,Multi (3),x_train_bal
0.7924528301886793,0.9742268041237113,0.8739884393063584,776.0,LGBM,Multi (3),x_train
0.3673469387755102,0.11612903225806452,0.17647058823529413,155.0,LGBM,Multi (3),x_train
0.2727272727272727,0.03614457831325301,0.06382978723404255,83.0,LGBM,Multi (3),x_train
0.7662721893491125,0.7662721893491125,0.7662721893491125,0.7662721893491125,LGBM,Multi (3),x_train
0.47750901389715406,0.3755001382316763,0.3714296049252317,1014.0,LGBM,Multi (3),x_train
0.6849295220640856,0.7662721893491125,0.7010511266455919,1014.0,LGBM,Multi (3),x_train
0.8726591760299626,0.6005154639175257,0.7114503816793893,776.0,LGBM,Multi (3),x_train_under
0.1875,0.2903225806451613,0.22784810126582278,155.0,LGBM,Multi (3),x_train_under
0.1375,0.39759036144578314,0.2043343653250774,83.0,LGBM,Multi (3),x_train_under
0.5364891518737672,0.5364891518737672,0.5364891518737672,0.5364891518737672,LGBM,Multi (3),x_train_under
0.3992197253433209,0.42947613533615675,0.38121094942342987,1014.0,LGBM,Multi (3),x_train_under
0.7077500203148432,0.5364891518737672,0.5960174597646846,1014.0,LGBM,Multi (3),x_train_under
0.821590909090909,0.9317010309278351,0.8731884057971014,776.0,LGBM,Binary,x_train
0.6044776119402985,0.3403361344537815,0.43548387096774194,238.0,LGBM,Binary,x_train
0.7928994082840237,0.7928994082840237,0.7928994082840237,0.7928994082840237,LGBM,Binary,x_train
0.7130342605156037,0.6360185826908082,0.6543361383824217,1014.0,LGBM,Binary,x_train
0.7706313778070379,0.7928994082840237,0.7704530218825181,1014.0,LGBM,Binary,x_train
0.8547904191616766,0.7358247422680413,0.7908587257617729,776.0,FNN,Multi (3),x_train
0.2222222222222222,0.3225806451612903,0.2631578947368421,155.0,FNN,Multi (3),x_train
0.2066115702479339,0.30120481927710846,0.24509803921568626,83.0,FNN,Multi (3),x_train
0.6370808678500987,0.6370808678500987,0.6370808678500987,0.6370808678500987,FNN,Multi (3),x_train
0.42787473721061087,0.45320340223548,0.4330382199047671,1014.0,FNN,Multi (3),x_train
0.7050400099058028,0.6370808678500987,0.6655216786294361,1014.0,FNN,Multi (3),x_train
0.8754646840148699,0.6069587628865979,0.7168949771689498,776.0,FNN,Multi (3),x_train_bal
0.16379310344827586,0.24516129032258063,0.19638242894056848,155.0,FNN,Multi (3),x_train_bal
0.1557377049180328,0.4578313253012048,0.2324159021406728,83.0,FNN,Multi (3),x_train_bal
0.539447731755424,0.539447731755424,0.539447731755424,0.539447731755424,FNN,Multi (3),x_train_bal
0.3983318307937262,0.4366504595034611,0.3818977694167303,1014.0,FNN,Multi (3),x_train_bal
0.7077660309055409,0.539447731755424,0.5976728783496735,1014.0,FNN,Multi (3),x_train_bal
0.8822269807280514,0.5309278350515464,0.6629123089300081,776.0,FNN,Multi (3),x_train_under
0.2047244094488189,0.33548387096774196,0.254278728606357,155.0,FNN,Multi (3),x_train_under
0.15358361774744028,0.5421686746987951,0.2393617021276596,83.0,FNN,Multi (3),x_train_under
0.5019723865877712,0.5019723865877712,0.5019723865877712,0.5019723865877712,FNN,Multi (3),x_train_under
0.41351166930810357,0.4695267935726945,0.38551757988800817,1014.0,FNN,Multi (3),x_train_under
0.7190215589571719,0.5019723865877712,0.5657792662132815,1014.0,FNN,Multi (3),x_train_under
0.8335684062059239,0.7615979381443299,0.795959595959596,776.0,FNN,Binary,x_train
0.39344262295081966,0.5042016806722689,0.4419889502762431,238.0,FNN,Binary,x_train
0.7011834319526628,0.7011834319526628,0.7011834319526628,0.7011834319526628,FNN,Binary,x_train
0.6135055145783718,0.6328998094082994,0.6189742731179195,1014.0,FNN,Binary,x_train
0.730264721378789,0.7011834319526628,0.7128777284323395,1014.0,FNN,Binary,x_train
0.8602693602693603,0.6585051546391752,0.745985401459854,776.0,FNN,Binary,x_train_under
0.36904761904761907,0.6512605042016807,0.47112462006079026,238.0,FNN,Binary,x_train_under
0.6568047337278107,0.6568047337278107,0.6568047337278107,0.6568047337278107,FNN,Binary,x_train_under
0.6146584896584897,0.654882829420428,0.6085550107603221,1014.0,FNN,Binary,x_train_under
0.7449727385624821,0.6568047337278107,0.6814717269302908,1014.0,FNN,Binary,x_train_under
0.8726899383983573,0.5476804123711341,0.6730007917656373,776.0,FNN,Binary,x_train_bal
0.33396584440227706,0.7394957983193278,0.46013071895424834,238.0,FNN,Binary,x_train_bal
0.5927021696252466,0.5927021696252466,0.5927021696252466,0.5927021696252466,FNN,Binary,x_train_bal
0.6033278914003172,0.6435881053452309,0.5665657553599428,1014.0,FNN,Binary,x_train_bal
0.746243849275017,0.5927021696252466,0.6230372046560608,1014.0,FNN,Binary,x_train_bal
